Step,Junction,QueueLength,FuelConsumption,Reward
251,J1,20,78549.86155872018,-0.79
251,J2,37,115854.78374138579,-1.16
251,J3,39,121127.13056565265,-1.21
251,J4,27,94179.2346279972,0.06
252,J1,19,60597.79092591191,0.39
252,J2,33,123360.02213473301,2.77
252,J3,42,121298.95515059444,-4.21
252,J4,27,95277.62364003764,-0.95
253,J1,17,64331.71330936717,1.36
253,J2,24,121153.83896994154,7.79
253,J3,39,163930.76895672764,1.36
253,J4,29,128804.45595878165,-3.29
254,J1,19,63582.512987418246,-2.64
254,J2,23,73177.53785336355,0.27
254,J3,41,131182.73793370317,-3.31
254,J4,37,136163.66776971225,-9.36
255,J1,21,70974.04463139284,-2.71
255,J2,22,77160.68431439967,0.23
255,J3,36,120541.38184635674,3.79
255,J4,35,112503.0881730747,0.87
256,J1,20,73028.37316655177,0.27
256,J2,22,83001.32559010171,-0.83
256,J3,35,108267.24074422455,-0.08
256,J4,37,132895.72708288123,-3.33
257,J1,19,66908.65453806089,0.33
257,J2,19,79705.55447093416,2.20
257,J3,37,99400.39501114473,-2.99
257,J4,36,119669.58166108016,-0.20
258,J1,20,76677.48781030813,-1.77
258,J2,19,74931.12367692252,-0.75
258,J3,35,125024.81431795983,0.75
258,J4,34,121873.24896286654,0.78
259,J1,18,59659.71663387229,1.40
259,J2,18,66601.66395251907,0.33
259,J3,30,105096.0340724129,3.95
259,J4,36,115333.20557089389,-3.15
260,J1,18,72738.66816837632,-0.73
260,J2,17,63166.533549958476,0.37
260,J3,30,90745.10685747051,-0.91
260,J4,32,136907.20892720693,2.63
261,J1,21,73389.03245150972,-3.73
261,J2,18,68284.04418305779,-1.68
261,J3,26,108018.8012125206,2.92
261,J4,35,92321.8780372902,-3.92
262,J1,21,72878.79414601822,-0.73
262,J2,16,64169.94606378803,1.36
262,J3,20,100325.26833744999,5.00
262,J4,34,133035.1623836817,-0.33
301,J1,25,82077.1243596267,-4.82
301,J2,21,86518.85004903821,-5.87
301,J3,14,58155.38469194836,5.42
301,J4,30,109150.11922094655,2.91
340,J1,36,102696.43598809885,-12.03
340,J2,28,80766.11356311387,-7.81
340,J3,17,69320.73120812095,-3.69
340,J4,15,67643.95047850584,14.32
375,J1,42,126594.7917167817,-7.27
375,J2,31,117348.54080093387,-4.17
375,J3,13,50655.76581518125,3.49
375,J4,25,81107.78461767841,-10.81
376,J1,36,118087.53733950033,4.82
376,J2,25,110369.1655923982,4.90
376,J3,18,53142.72629665526,-5.53
376,J4,25,96228.3843988615,-0.96
377,J1,37,130535.13580674308,-2.31
377,J2,22,71447.27333508513,2.29
377,J3,20,95601.4907542791,-2.96
377,J4,21,96924.10654735846,3.03
378,J1,40,116707.46291806275,-4.17
378,J2,25,78464.93740977485,-3.78
378,J3,23,75274.76105191665,-3.75
378,J4,22,73217.51440549831,-1.73
379,J1,40,116640.14884785825,-1.17
379,J2,28,79021.21603851102,-3.79
379,J3,24,83025.28819319012,-1.83
379,J4,23,74617.66178397773,-1.75
380,J1,40,115483.2426766009,-1.15
380,J2,28,84082.54649038971,-0.84
380,J3,24,84916.8955887097,-0.85
380,J4,20,81272.25364642103,2.19
381,J1,43,127759.75955775057,-4.28
381,J2,31,89344.9983361857,-3.89
381,J3,22,73212.01542782022,1.27
381,J4,22,70535.9808995121,-2.71
382,J1,37,143550.76327217938,4.56
382,J2,30,91522.2485360942,0.08
382,J3,24,87859.1702191603,-2.88
382,J4,20,77705.83861121505,1.22
383,J1,32,150918.41123259722,3.49
383,J2,24,95443.59621685505,5.05
383,J3,32,117372.81938471338,-9.17
383,J4,24,63698.63980100714,-4.64
384,J1,22,109225.5252888289,8.91
384,J2,22,75977.92474212672,1.24
384,J3,31,105991.82783892044,-0.06
384,J4,27,105108.35291279823,-4.05
385,J1,23,87147.41426703957,-1.87
385,J2,18,69480.52365593905,3.31
385,J3,30,97338.40146591858,0.03
385,J4,26,88264.55424684871,0.12
386,J1,22,82754.34107132963,0.17
386,J2,17,71671.44503927631,0.28
386,J3,32,118380.239707789,-3.18
386,J4,26,102355.84916265085,-1.02
387,J1,20,73643.27299650088,1.26
387,J2,21,67875.36482170533,-4.68
387,J3,33,115979.48325708155,-2.16
387,J4,22,86825.28696264693,3.13
388,J1,23,69315.83613797546,-3.69
388,J2,21,89806.35769589257,-0.90
388,J3,31,106174.29407885722,0.94
388,J4,26,82141.6070360881,-4.82
389,J1,18,74246.44823345641,4.26
389,J2,20,72160.72713804993,0.28
389,J3,33,115319.10083328426,-3.15
389,J4,25,88528.6094553616,0.11
390,J1,21,75780.0062783306,-3.76
390,J2,20,64193.93808986888,-0.64
390,J3,32,100183.34687254224,-0.00
390,J4,25,84621.84061608181,-0.85
428,J1,19,66895.78030346525,1.33
428,J2,29,92578.78269258596,-9.93
428,J3,32,93611.44456793618,-0.94
428,J4,16,71491.72677433545,8.29
463,J1,21,75491.20053559181,-2.75
463,J2,25,94051.93596679102,3.06
463,J3,40,129674.97833558572,-9.30
463,J4,21,83361.15488693623,-5.83
498,J1,32,101574.26313378528,-12.02
498,J2,18,72475.21739839592,6.28
498,J3,34,111380.5675976589,4.89
498,J4,27,86434.06813202615,-6.86
499,J1,30,105466.177076035,0.95
499,J2,16,58772.03882039919,1.41
499,J3,29,91566.86552777665,4.08
499,J4,25,88119.80329296684,1.12
500,J1,26,83339.7546056616,3.17
500,J2,20,85123.34602810204,-4.85
500,J3,25,73593.33633492216,3.26
500,J4,27,97959.56522501851,-2.98
501,J1,26,82489.92242598586,-0.82
501,J2,20,70688.79362507851,-0.71
501,J3,21,76803.0788023023,3.23
501,J4,29,81875.4327336161,-2.82
502,J1,21,98088.57692457913,4.02
502,J2,17,64481.61130863184,2.36
502,J3,21,77484.24522115513,-0.77
502,J4,33,123759.2237890403,-5.24
503,J1,23,84131.20067011987,-2.84
503,J2,19,67338.28399245313,-2.67
503,J3,25,71535.43932906749,-4.72
503,J4,28,93789.05502415872,4.06
504,J1,22,79935.05357590583,0.20
504,J2,19,76807.07549347242,-0.77
504,J3,27,94627.71176451482,-2.95
504,J4,26,90928.72358669473,1.09
505,J1,22,74657.4605874923,-0.75
505,J2,21,81385.94487379318,-2.81
505,J3,23,86496.10874371369,3.14
505,J4,26,86793.12967941565,-0.87
506,J1,22,81648.12411044323,-0.82
506,J2,22,77320.11650364635,-1.77
506,J3,22,75921.64403555925,0.24
506,J4,24,93704.47181442233,1.06
507,J1,22,77953.71223041168,-0.78
507,J2,22,73322.53640290594,-0.73
507,J3,23,106066.23382695929,-2.06
507,J4,22,78521.40012117145,1.21
