Step,Agent,Action,Reason
90,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
91,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
92,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
93,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
94,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
95,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
96,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
97,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
98,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
99,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
100,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
101,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
102,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
103,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
104,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
105,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
106,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
107,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
108,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
109,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
110,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
111,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
112,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
113,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
114,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
115,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
116,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
117,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
118,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
119,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
120,J1,Green NS,High Congestion (30 cars). Clearing queue.
120,J2,Green EW,High Congestion (25 cars). Clearing queue.
120,J3,Green NS,High Congestion (14 cars). Clearing queue.
120,J4,Green EW,High Congestion (40 cars). Clearing queue.
130,J1,Green NS,High Congestion (26 cars). Clearing queue.
130,J2,Green NS,High Congestion (24 cars). Clearing queue.
130,J3,Green NS,High Congestion (38 cars). Clearing queue.
130,J4,Green EW,High Congestion (25 cars). Clearing queue.
136,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
137,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
138,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
139,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
140,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
141,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
142,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
143,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
144,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
145,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
146,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
147,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
148,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
149,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
150,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
151,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
152,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
153,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
154,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
155,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
156,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
157,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
158,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
159,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
160,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
161,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
162,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
163,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
164,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
165,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
166,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
167,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
168,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
169,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
170,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
171,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
172,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
173,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
174,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
176,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
177,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
178,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
179,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
180,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
181,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
182,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
183,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
184,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
185,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
186,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
187,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
188,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
189,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
190,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
191,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
192,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
193,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
194,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
195,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
196,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
197,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
198,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
199,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
200,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
201,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
202,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
203,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
204,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
205,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
206,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
207,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
208,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
209,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
210,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
212,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
213,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
214,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
215,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
216,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
217,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
218,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
219,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
220,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
221,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
222,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
223,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
224,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
225,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
226,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
227,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
228,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
229,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
230,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
231,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
232,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
233,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
234,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
235,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
236,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
237,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
238,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
239,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
240,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
241,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
242,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
243,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
244,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
245,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
250,J1,Green NS,High Congestion (16 cars). Clearing queue.
250,J2,Green EW,High Congestion (35 cars). Clearing queue.
250,J3,Green NS,High Congestion (38 cars). Clearing queue.
250,J4,Green NS,High Congestion (25 cars). Clearing queue.
260,J1,Green EW,High Congestion (18 cars). Clearing queue.
260,J2,Green EW,High Congestion (18 cars). Clearing queue.
260,J3,Green NS,High Congestion (30 cars). Clearing queue.
260,J4,Green EW,High Congestion (36 cars). Clearing queue.
263,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
264,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
265,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
266,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
267,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
268,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
269,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
270,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
271,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
272,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
273,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
274,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
275,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
276,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
277,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
278,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
279,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
280,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
281,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
282,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
283,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
284,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
285,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
286,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
287,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
288,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
289,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
290,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
291,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
292,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
293,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
294,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
295,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
296,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
297,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
298,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
299,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
300,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
302,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
303,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
304,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
305,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
306,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
307,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
308,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
309,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
